,name,rating,reviews,type,hq,old,employees
2849,Efftronics Syste...,3.4,(184 Reviews),Private,"Vijayawada,Andhra Pradesh + 18 more",38 years old,501-1k Employees (India)
2850,Military Enginee...,4.6,(184 Reviews),Public,"Delhi/NCR,Delhi + 47 more",100 years old,51-200 Employees (India)
2851,Shree Baidyanath...,3.7,(184 Reviews),Private,"Allahabad/Prayagraj,Uttar Pradesh + 25 more",106 years old,501-1k Employees (India)
2852,Su-Kam Power Sys...,4.3,(184 Reviews),Private,"Gurgaon/Gurugram,Haryana + 40 more",35 years old,501-1k Employees (India)
2853,Refinitiv,4.1,(184 Reviews),Private,"London,England + 1 more",325 years old,51-200 Employees (India)
2854,LTIMindtree,4.0,(184 Reviews),Pune + 10 more,,,
2855,New Opportunity ...,4.3,(183 Reviews),Private,Navi Mumbai + 71 more,8 years old,201-500 Employees (India)
2856,Kellton Tech Sol...,3.6,(183 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 7 more",14 years old,1k-5k Employees (India)
2857,JoulestoWatts Bu...,3.1,(183 Reviews),Private,"Bangalore,Karnataka + 11 more",8 years old,201-500 Employees (India)
2858,Paragon Digital ...,3.7,(183 Reviews),Private,Chennai + 9 more,16 years old,1k-5k Employees (India)
2859,Khimji Ramdas,4.1,(183 Reviews),Private,Muscat + 21 more,153 years old,201-500 Employees (India)
2860,Highway Industri...,4.1,(183 Reviews),Private,"Ludhiana,Punjab + 6 more",52 years old,1k-5k Employees (India)
2861,Rosenberger Elec...,4.1,(183 Reviews),Private,Tittmoning + 25 more,65 years old,501-1k Employees (India)
2862,Bharat Instituti...,4.2,(183 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",22 years old,201-500 Employees (India)
2863,Hinduja Tech,3.7,(183 Reviews),Chennai + 10 more,,,
2864,Veeda Clinical R...,4.2,(183 Reviews),Private,"Ahmedabad,Gujarat + 3 more",19 years old,501-1k Employees (India)
2865,Hyundai Glovis,4.1,(183 Reviews),Public,"Gangnam-gu,Seoul + 9 more",22 years old,201-500 Employees (India)
2866,Paper boat,4.1,(183 Reviews),"Bangalore,Karnataka + 37 more",10 years old,51-200 Employees (India),
2867,Techwave Consult...,3.8,(183 Reviews),Private,"Houston,Texas + 1 more",19 years old,1k-5k Employees (India)
2868,Alembic,4.1,(2.1k Reviews),Vadodara + 26 more,,,
2869,Air Liquide,3.9,(213 Reviews),Public,Paris + 20 more,121 years old,201-500 Employees (India)
2870,Netmeds.com,3.9,(182 Reviews),Private,"Chennai,Tamil Nadu + 41 more",8 years old,501-1k Employees (India)
2871,Bengal Beverages,3.3,(182 Reviews),Private,Dankuni + 5 more,28 years old,501-1k Employees (India)
2872,Aster Dm Healthc...,4.0,(182 Reviews),Public,Dubai + 19 more,36 years old,501-1k Employees (India)
2873,NAFFCO,3.9,(182 Reviews),Private,"Dubai,Dubai + 14 more",32 years old,201-500 Employees (India)
2874,Titan Laboratori...,3.8,(182 Reviews),Private,"Mumbai,Maharashtra + 10 more",19 years old,201-500 Employees (India)
2875,TATA Advanced Ma...,3.9,(182 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 1 more",33 years old,501-1k Employees (India)
2876,Servion Global S...,4.0,(182 Reviews),Private,New Jersey + 11 more,28 years old,1k-5k Employees (India)
2877,Shakti Pumps,3.8,(182 Reviews),Public,"Dhar,Madhya Pradesh + 28 more",41 years old,501-1k Employees (India)
2878,Pearl Global Ind...,3.9,(182 Reviews),Public,"Gurgaon/Gurugram,Haryana + 10 more",36 years old,501-1k Employees (India)
2879,Eurofins It Solu...,3.5,(182 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 3 more",11 years old,1k-5k Employees (India)
2880,Bengal Beverages,3.3,(182 Reviews),Private,Dankuni + 5 more,28 years old,501-1k Employees (India)
2881,Aster Dm Healthc...,4.0,(182 Reviews),Public,Dubai + 19 more,36 years old,501-1k Employees (India)
2882,Writer Informati...,3.4,(182 Reviews),Private,Mumbai + 22 more,36 years old,5k-10k Employees (Global)
2883,Sri Sri Tattva,3.8,(182 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 29 more",20 years old,201-500 Employees (India)
2884,Netmeds.com,3.9,(182 Reviews),Private,"Chennai,Tamil Nadu + 41 more",8 years old,501-1k Employees (India)
2885,Rainbow Children...,4.5,(182 Reviews),Private,Hyderabad + 9 more,24 years old,1k-5k Employees (Global)
2886,Onkar Infotech,4.4,(182 Reviews),Private,"Gurgaon/Gurugram,Haryana",23 years old,201-500 Employees (India)
2887,Allianz,4.3,(1.2k Reviews),Private,Munich + 10 more,133 years old,10k-50k Employees (India)
2888,BP,4.0,(496 Reviews),Private,London + 5 more,114 years old,1k-5k Employees (India)
2889,Stovekraft,3.8,(181 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 26 more",29 years old,1k-5k Employees (India)
2890,Bharat Rasayan,4.0,(181 Reviews),Public,"Delhi/NCR,New Delhi + 11 more",34 years old,501-1k Employees (India)
2891,Bombay Rayon Fas...,3.9,(181 Reviews),Public,"Mumbai,Maharashtra + 12 more",37 years old,5k-10k Employees (India)
2892,Dnata,4.2,(181 Reviews),Private,"Dubai,Dubai + 16 more",64 years old,501-1k Employees (India)
2893,Equiniti,3.5,(181 Reviews),Public,London + 1 more,18 years old,201-500 Employees (India)
2894,Nava Bharat Vent...,3.9,(181 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 19 more",51 years old,51-200 Employees (India)
2895,Responsive Indus...,4.7,(181 Reviews),Public,"Thane,Maharashtra + 8 more",31 years old,501-1k Employees (India)
2896,Danone Nutricia,3.6,(181 Reviews),Private,Barcelona + 38 more,127 years old,51-200 Employees (India)
2897,Richa Global Exp...,3.8,(181 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",32 years old,10k-50k Employees (India)
2898,Anand Rathi Glob...,3.6,(181 Reviews),Private,Mumbai + 34 more,41 years old,51-200 Employees (India)
2899,Birla Cement,4.3,(181 Reviews),Kolkata + 41 more,113 years old,5k-10k Employees (India),
2900,Aptiv Components...,4.1,(181 Reviews),Bengaluru/Bangalore + 9 more,,,
2901,OptimHire,4.3,(181 Reviews),"Union City,California + 1 more",5 years old,51-200 Employees (India),
2902,EVRY India,3.7,(181 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",30 years old,501-1k Employees (India)
2903,InfoStretch,3.7,(181 Reviews),Private,"Santa Clara,California + 4 more",19 years old,501-1k Employees (India)
2904,Vem Technologies,3.9,(181 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",30 years old,1k-5k Employees (India)
2905,MIOT INTERNATION...,3.8,(181 Reviews),"Chennai,Tamil Nadu + 5 more",24 years old,501-1k Employees (India),
2906,Amara Raja Power...,4.0,(181 Reviews),"Tirupati,Andhra Pradesh + 26 more",38 years old,10k-50k Employees (India),
2907,Thales,4.1,(257 Reviews),Private,"Paris,√éle-de-France + 13 more",23 years old,1k-5k Employees (India)
2908,Globus Stores,4.0,(180 Reviews),Private,"Mumbai,Maharashtra + 28 more",25 years old,501-1k Employees (India)
2909,ABI SHOWA TECH,4.0,(180 Reviews),Private,"Chennai,Tamil Nadu + 8 more",32 years old,1k-5k Employees (India)
2910,Solartis Technol...,3.7,(180 Reviews),LLC,"Manhattan Beach,California + 1 more",19 years old,51-200 Employees (India)
2911,Columbia Petro C...,4.3,(180 Reviews),Private,"Mumbai,Maharashtra + 9 more",63 years old,51-200 Employees (India)
2912,NOON.COM,4.1,(180 Reviews),LLC,"Burj Khalifa,Dubai + 10 more",7 years old,1k-5k Employees (India)
2913,ANZ Operations &...,4.4,(180 Reviews),Melbourne + 2 more,34 years old,1k-5k Employees (India),
2914,MagicPin,2.6,(180 Reviews),Private,"Gurgaon,Haryana + 13 more",8 years old,201-500 Employees (India)
2915,RadiSys,4.5,(180 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 3 more",36 years old,1k-5k Employees (India)
2916,Watertec India,4.4,(180 Reviews),Private,"Coimbatore,Tamil Nadu + 42 more",26 years old,1k-5k Employees (India)
2917,Globus Stores,4.0,(180 Reviews),Private,"Mumbai,Maharashtra + 28 more",25 years old,501-1k Employees (India)
2918,Tube Products of...,3.9,(180 Reviews),Private,"Chennai,Tamil Nadu + 8 more",68 years old,10k-50k Employees (India)
2919,VVF,4.0,(180 Reviews),Public,Mumbai + 14 more,84 years old,1k-5k Employees (India)
2920,SKH Y-TEC,4.0,(180 Reviews),Private,Becharaji + 12 more,10 years old,1k-5k Employees (India)
2921,Infinx Healthcar...,3.6,(180 Reviews),San Jose + 6 more,11 years old,501-1k Employees (India),
2922,Examity,3.7,(180 Reviews),"Needham,Massachusetts + 3 more",10 years old,201-500 Employees (Global),
2923,ShopKirana,4.0,(180 Reviews),Private,"Indore,Madhya Pradesh + 17 more",9 years old,501-1k Employees (India)
2924,Apparel Group,3.5,(180 Reviews),Private,"Dubai,Dubai + 18 more",24 years old,501-1k Employees (India)
2925,Weblink In,4.6,(333 Reviews),Private,"New Delhi,Delhi + 5 more",26 years old,201-500 Employees (India)
2926,Sgs Tekniks Manu...,3.9,(179 Reviews),Private,Gurgaon + 7 more,33 years old,201-500 Employees (India)
2927,ArcGate,3.3,(179 Reviews),Private,"Udaipur,Rajasthan",18 years old,1k-5k Employees (India)
2928,Casagrand,4.0,(179 Reviews),Private,"Chennai,Tamil Nadu + 6 more",19 years old,501-1k Employees (India)
2929,Central Institut...,3.6,(179 Reviews),Public,"Chennai,Tamil Nadu + 34 more",55 years old,51-200 Employees (India)
2930,Wow Momo Foods,3.7,(179 Reviews),Private,"Kolkata,West Bengal + 23 more",15 years old,501-1k Employees (India)
2931,CESC,3.8,(179 Reviews),Public,"Kolkata,West Bengal + 12 more",124 years old,5k-10k Employees (India)
2932,HealthKart,3.9,(179 Reviews),Private,"Gurgaon,Haryana + 17 more",12 years old,501-1k Employees (India)
2933,RSM India,3.3,(179 Reviews),Private,London + 17 more,59 years old,1k-5k Employees (India)
2934,Radiant Cash Man...,3.5,(179 Reviews),Private,"Chennai,Tamil Nadu + 37 more",18 years old,5k-10k Employees (India)
2935,MobileComm Techn...,3.8,(179 Reviews),Private,"Richardson,TX + 24 more",21 years old,201-500 Employees (India)
2936,Tuaman Engineeri...,3.9,(179 Reviews),Private,"Kolkata,West Bengal + 15 more",18 years old,501-1k Employees (India)
2937,Sundaram Auto Co...,4.1,(179 Reviews),Public,"Bhiwadi,Rajasthan + 11 more",43 years old,501-1k Employees (India)
2938,Azure Power,3.9,(179 Reviews),Private,"Delhi,NCT + 13 more",15 years old,501-1k Employees (India)
2939,Flipkart Health+,4.1,(179 Reviews),Private,"Kolkata,West Bengal + 19 more",10 years old,501-1k Employees (India)
2940,Checkmate Servic...,4.1,(179 Reviews),Private,"Vadodara/Baroda,Gujrat + 45 more",31 years old,10k-50k Employees (India)
2941,Manhattan Associ...,4.1,(179 Reviews),Private,"Atlanta,Georgia + 1 more",33 years old,1k-5k Employees (India)
2942,BridgeLabz Solut...,4.0,(179 Reviews),"Mumbai,Maharashtra + 8 more",7 years old,201-500 Employees (India),
2943,Deluxe Entertain...,3.8,(179 Reviews),Private,"Hollywood,Florida + 3 more",108 years old,1k-5k Employees (India)
2944,Pfizer Healthcar...,4.1,(179 Reviews),Mumbai + 12 more,14 years old,1k-5k Employees (India),
2945,L&T Defence,4.1,(179 Reviews),Mumbai + 12 more,13 years old,1k-5k Employees (India),
2946,Škoda Auto India,4.2,(179 Reviews),Private,"Aurangabad,Maharashtra + 28 more",22 years old,1k-5k Employees (India)
2947,Sarvodaya Hospit...,4.2,(179 Reviews),Private,"Faridabad,Haryana + 12 more",32 years old,51-200 Employees (India)
2948,London Stock Exc...,4.2,(362 Reviews),Private,London + 3 more,325 years old,5k-10k Employees (India)
2949,Theme Engineerin...,3.4,(178 Reviews),Private,"Jaipur,Rajasthan + 58 more",21 years old,501-1k Employees (India)
2950,ThoughtWorks,4.3,(178 Reviews),Private,"Chicago,Illinois + 9 more",30 years old,1k-5k Employees (India)
2951,Arabtec Construc...,4.6,(178 Reviews),Private,"Dubai,Dubai + 11 more",48 years old,201-500 Employees (India)
2952,Tejas Networks,4.0,(178 Reviews),Public,"Bangalore,Karnataka + 14 more",23 years old,1k-5k Employees (India)
2953,VIT University,4.3,(178 Reviews),Private,"Vellore,Tamil Nadu + 9 more",39 years old,1k-5k Employees (India)
2954,Global Aluminium,3.9,(178 Reviews),Private,Hyderabad/Secunderabad + 5 more,26 years old,1k-5k Employees (India)
2955,Wallace Pharmace...,3.7,(178 Reviews),Private,"Panaji/Panjim,Goa + 30 more",55 years old,1k-5k Employees (India)
2956,CBSL,3.7,(178 Reviews),Private,New Delhi + 40 more,73 years old,1k-5k Employees (India)
2957,Delhi Duty Free ...,4.3,(178 Reviews),Partnership,"Delhi/NCR,New Delhi + 3 more",13 years old,501-1k Employees (India)
2958,INDIAN PUBLIC SC...,3.8,(178 Reviews),Private,"Salem,Tamil Nadu + 33 more",19 years old,1k-5k Employees (India)
2959,Dalmia-OCL,3.7,(178 Reviews),New Delhi + 27 more,7 years old,501-1k Employees (Global),
2960,Amentum,4.4,(178 Reviews),Bengaluru/Bangalore + 18 more,51-200 Employees (India),,
2961,KRBL,3.8,(178 Reviews),Public,"Noida,Uttar Pradesh + 17 more",134 years old,501-1k Employees (India)
2962,The Indian Hotel...,4.2,(1.7k Reviews),Private,"Mumbai,Maharashtra + 29 more",124 years old,1k-5k Employees (India)
2963,Siemens Healthin...,4.1,(380 Reviews),Erlangen + 12 more,127 years old,1k-5k Employees (India),
2964,Gartner India Re...,4.1,(177 Reviews),Private,"Stamford,Connecticut + 6 more",71 years old,1k-5k Employees (India)
2965,Imarque Solution...,3.3,(177 Reviews),Private,"Chennai,Tamil Nadu + 8 more",19 years old,201-500 Employees (India)
2966,S Chand Group,3.9,(177 Reviews),Public,New Delhi + 28 more,84 years old,1k-5k Employees (India)
2967,Taraashna Financ...,4.0,(177 Reviews),Private,Gurgaon + 49 more,11 years old,51-200 Employees (India)
2968,Encube Ethicals,3.9,(177 Reviews),Private,Mumbai + 7 more,23 years old,201-500 Employees (India)
2969,Case New-Holland...,4.0,(177 Reviews),Private,London + 30 more,181 years old,51-200 Employees (India)
2970,PhyCARE Solution...,3.8,(177 Reviews),Private,"Bronx,New York + 3 more",23 years old,501-1k Employees (India)
2971,Cochin Shipyard,4.2,(177 Reviews),Private,"Ernakulam,Kerala + 6 more",51 years old,1k-5k Employees (India)
2972,GMR Energy,4.6,(177 Reviews),Public,"Delhi,NCT + 22 more",27 years old,1k-5k Employees (India)
2973,Gartner India Re...,4.1,(177 Reviews),Private,"Stamford,Connecticut + 6 more",71 years old,1k-5k Employees (India)
2974,Taraashna Financ...,4.0,(177 Reviews),Private,Gurgaon + 49 more,11 years old,51-200 Employees (India)
2975,Imarque Solution...,3.3,(177 Reviews),Private,"Chennai,Tamil Nadu + 8 more",19 years old,201-500 Employees (India)
2976,Hindustan Syring...,4.1,(177 Reviews),Private,"Faridabad,Haryana + 8 more",66 years old,51-200 Employees (India)
2977,Yashi Consulting...,3.9,(177 Reviews),Private,Jaipur + 12 more,18 years old,51-200 Employees (India)
2978,Valvoline Cummin...,4.1,(177 Reviews),Private,"Gurgaon/Gurugram,Haryana + 42 more",25 years old,201-500 Employees (India)
2979,S Chand Group,3.9,(177 Reviews),Public,New Delhi + 28 more,84 years old,1k-5k Employees (India)
2980,eNoah iSolution,3.9,(177 Reviews),Private,"Chennai,Tamil Nadu + 4 more",18 years old,1k-5k Employees (India)
2981,Bada Business,3.8,(177 Reviews),New Delhi + 26 more,4 years old,5k-10k Employees (India),
2982,RA Chem Pharma,4.0,(176 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 8 more",27 years old,1k-5k Employees (India)
2983,Gujarat Gas,4.3,(176 Reviews),Public,"Gandhinagar,Gujarat + 32 more",43 years old,1k-5k Employees (India)
2984,TowerVision Indi...,4.1,(176 Reviews),Private,Chennai + 20 more,17 years old,501-1k Employees (India)
2985,eBIZ.com,4.1,(176 Reviews),Private,"Noida,Uttar Pradesh + 22 more",22 years old,51-200 Employees (India)
2986,Inventia Healthc...,4.0,(176 Reviews),Private,"Mumbai,Maharashtra + 6 more",38 years old,501-1k Employees (India)
2987,Neilsoft,3.5,(176 Reviews),Private,Pune + 5 more,30 years old,501-1k Employees (India)
2988,Oriflame,3.8,(176 Reviews),Private,"Stockholm,Schaffhausen + 21 more",56 years old,201-500 Employees (India)
2989,Vision India Ser...,3.6,(176 Reviews),Private,New Delhi + 49 more,15 years old,51-200 Employees (India)
2990,Berkadia,4.2,(176 Reviews),Private,"New York,New York + 1 more",14 years old,1k-5k Employees (India)
2991,Simpa Energy,4.3,(176 Reviews),"Bangalore,Karnataka + 28 more",13 years old,51-200 Employees (India),
2992,Tata Metaliks,4.0,(176 Reviews),Public,"Kolkata,West Bengal + 7 more",33 years old,1k-5k Employees (India)
2993,MBD GROUP,3.8,(176 Reviews),Private,New Delhi + 28 more,67 years old,501-1k Employees (India)
2994,CTDI,3.8,(176 Reviews),Private,"West Chester,Pennsylvania + 18 more",48 years old,201-500 Employees (India)
2995,Matrix Cellular ...,3.2,(176 Reviews),Private,Delhi + 17 more,28 years old,51-200 Employees (India)
2996,Par Formulations,4.3,(176 Reviews),Private,New York + 5 more,11 years old,501-1k Employees (India)
2997,S.c Johnson Prod...,4.2,(176 Reviews),Private,"Racine,Wisconsin + 40 more",137 years old,501-1k Employees (India)
2998,WayCool Foods an...,3.8,(176 Reviews),Private,"Chennai,Tamil Nadu + 19 more",8 years old,501-1k Employees (India)
2999,WayCool Foods an...,3.8,(176 Reviews),Private,"Chennai,Tamil Nadu + 19 more",8 years old,501-1k Employees (India)
3000,Loadshare Networ...,3.6,(176 Reviews),Private,"Bangalore,Karnataka + 37 more",6 years old,501-1k Employees (India)
3001,Omega Healthcare...,3.7,(176 Reviews),Bengaluru/Bangalore + 4 more,10k-50k Employees (Global),,
3002,Sequential Techn...,4.0,(176 Reviews),Private,Windermere + 4 more,7 years old,501-1k Employees (India)
3003,Publicis,3.7,(2.1k Reviews),Private,Paris + 12 more,97 years old,10k-50k Employees (India)
3004,A2Z Group,3.9,(308 Reviews),Private,Gurgaon + 32 more,21 years old,51-200 Employees (India)
3005,Rakuten,3.9,(244 Reviews),Private,"San Mateo,California + 4 more",26 years old,501-1k Employees (India)
3006,POSCO MAHARASHTR...,4.2,(175 Reviews),Private,Pohang-si + 8 more,11 years old,1k-5k Employees (India)
3007,Rajasthan Patrik...,3.2,(175 Reviews),Private,"Jaipur,Rajasthan + 34 more",67 years old,1k-5k Employees (India)
3008,Creative Synergi...,3.7,(175 Reviews),Private,Okemos (MI) + 1 more,12 years old,501-1k Employees (India)
3009,Cotmac Electroni...,4.1,(175 Reviews),Private,"Pune,Maharashtra + 13 more",32 years old,501-1k Employees (India)
3010,Technico Industr...,3.8,(175 Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",53 years old,501-1k Employees (India)
3011,NGA HR,3.9,(175 Reviews),Private,"Hemel Hempstead,Hertfordshire + 13 more",54 years old,1k-5k Employees (India)
3012,Trivium Educatio...,3.7,(175 Reviews),Private,"Delhi/NCR,Delhi + 6 more",13 years old,201-500 Employees (India)
3013,Call 2 Connect,3.2,(175 Reviews),Private,"Mumbai,Maharashtra + 11 more",20 years old,501-1k Employees (India)
3014,Andromeda Sales ...,3.2,(175 Reviews),Private,"Mumbai,Maharashtra + 35 more",32 years old,1k-5k Employees (India)
3015,Chettinad Cement...,3.8,(175 Reviews),Private,"Chennai,Tamil Nadu + 35 more",61 years old,1k-5k Employees (India)
3016,Yara Fertilisers,4.1,(175 Reviews),Oslo + 29 more,118 years old,501-1k Employees (India),
3017,Ozone Overseas,3.8,(175 Reviews),Private,"Delhi/NCR,Delhi + 23 more",23 years old,51-200 Employees (India)
3018,AXIS MY INDIA,4.4,(175 Reviews),Private,"Mumbai,Maharashtra + 9 more",25 years old,51-200 Employees (India)
3019,Dinshaws,4.1,(175 Reviews),Private,"Nagpur,Maharashtra + 28 more",91 years old,501-1k Employees (India)
3020,Oberoi Realty,3.7,(175 Reviews),Public,"Mumbai,Maharashtra + 5 more",43 years old,501-1k Employees (India)
3021,Adama,4.4,(175 Reviews),Private,Tel Aviv + 46 more,14 years old,201-500 Employees (India)
3022,Delphi Automotiv...,4.2,(175 Reviews),Public,Dublin + 15 more,29 years old,51-200 Employees (India)
3023,B.L Agro Oils,3.7,(175 Reviews),Bareilly + 26 more,30 years old,1k-5k Employees (India),
3024,Sterling Hospita...,4.0,(175 Reviews),Public,"Ahmedabad,Gujarat + 11 more",22 years old,1k-5k Employees (India)
3025,Bajaj Consumer C...,4.2,(175 Reviews),Public,"Mumbai,Maharashtra + 44 more",93 years old,201-500 Employees (India)
3026,Self Practice,4.5,(175 Reviews),New Delhi + 67 more,,,
3027,Torrent Gas,3.2,(175 Reviews),Private,"Ahmedabad,Gujarat + 23 more",5 years old,501-1k Employees (India)
3028,Nippon India Mut...,4.5,(175 Reviews),JV,"Mumbai,Maharashtra + 70 more",28 years old,1k-5k Employees (India)
3029,PureSoftware,3.7,(175 Reviews),Private,"Noida,Uttar Pradesh + 5 more",18 years old,501-1k Employees (India)
3030,Zebronics,3.5,(175 Reviews),Private,"Chennai,Tamil Nadu + 31 more",26 years old,1k-5k Employees (India)
3031,Vedant Fashions,3.7,(174 Reviews),Private,"Kolkata,West Bengal + 29 more",21 years old,1k-5k Employees (India)
3032,Koyo Bearings In...,3.9,(174 Reviews),Private,Gurgaon + 4 more,16 years old,1k-5k Employees (India)
3033,Schneider Electr...,4.0,(174 Reviews),Public,Rueil-Malmaison + 19 more,187 years old,10k-50k Employees (India)
3034,Parul University,3.6,(174 Reviews),Private,"Vadodara/Baroda,Gujarat + 16 more",8 years old,201-500 Employees (India)
3035,Zamil Air Condit...,4.1,(174 Reviews),Private,Dammam + 17 more,49 years old,201-500 Employees (India)
3036,CARE Ratings,3.1,(174 Reviews),Public,Mumbai + 14 more,30 years old,501-1k Employees (India)
3037,VISA Steel,3.9,(174 Reviews),Public,"Bhubaneswar,Odisha + 11 more",27 years old,1k-5k Employees (India)
3038,Syncfusion,3.7,(174 Reviews),Private,"Morrisville,Carolina",22 years old,501-1k Employees (India)
3039,Rochem Separatio...,3.8,(174 Reviews),"Mumbai,Maharashtra + 20 more",32 years old,201-500 Employees (India),
3040,Etech Global Ser...,4.2,(174 Reviews),Private,"Nacogdoches,Texas + 2 more",26 years old,1k-5k Employees (India)
3041,Asti Electronics...,4.0,(174 Reviews),Private,"Gurgaon/Gurugram,Haryana + 4 more",19 years old,201-500 Employees (India)
3042,Pitambari Produc...,4.1,(174 Reviews),Private,"Thane,Maharashtra + 24 more",37 years old,201-500 Employees (India)
3043,Virchow Biotech,3.6,(174 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",24 years old,1k-5k Employees (India)
3044,Hygienic Researc...,4.4,(174 Reviews),Private,"Mumbai,Maharashtra + 26 more",66 years old,1k-5k Employees (India)
3045,Sedemac Mechatro...,4.3,(174 Reviews),Private,"Mumbai,Maharashtra + 2 more",16 years old,201-500 Employees (India)
3046,Sundaram Busines...,3.5,(174 Reviews),Private,Chennai + 6 more,22 years old,501-1k Employees (India)
3047,Shyam Indus Powe...,3.7,(174 Reviews),Private,"Delhi/NCR,Delhi + 17 more",19 years old,1k-5k Employees (India)
3048,Manipal Technolo...,3.7,(174 Reviews),Private,"Manipal,Karnataka + 19 more",82 years old,1k-5k Employees (India)
3049,Polestar Solutio...,4.6,(174 Reviews),Private,"Noida,Uttar Pradesh + 5 more",11 years old,201-500 Employees (India)
3050,Signode,4.0,(174 Reviews),Private,"Glenview,Illinois + 24 more",110 years old,501-1k Employees (India)
3051,FIGMD,3.5,(174 Reviews),Private,"Rockford,IL",13 years old,501-1k Employees (India)
3052,Celebi Delhi Car...,4.1,(174 Reviews),Istanbul + 4 more,65 years old,5k-10k Employees (India),
3053,Welspun Floorin...,3.8,(174 Reviews),Public,Hyderabad + 13 more,7 years old,51-200 Employees (India)
3054,JSW Paints,4.0,(174 Reviews),Mumbai + 42 more,7 years old,51-200 Employees (India),
3055,Tata Electronics,3.9,(174 Reviews),Krishnagiri + 6 more,11-50 Employees (India),,
3056,Calsoft,3.6,(174 Reviews),Private,"San Jose,California + 2 more",25 years old,501-1k Employees (India)
3057,Total,3.6,(224 Reviews),Private,Paris + 33 more,99 years old,501-1k Employees (India)
3058,Dorf Ketal Chemi...,3.8,(173 Reviews),LLC,Houston + 20 more,31 years old,1k-5k Employees (India)
3059,Bajaj Hindusthan,4.2,(173 Reviews),Public,"Mumbai,Maharashtra + 15 more",92 years old,1k-5k Employees (India)
3060,Hamleys,4.1,(173 Reviews),Private,London + 35 more,263 years old,1k-5k Employees (India)
3061,Allahabad Bank,4.1,(173 Reviews),Private,"Chennai,Tamil Nadu + 48 more",158 years old,10k-50k Employees (India)
3062,Associated Road ...,4.1,(173 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 42 more",51 years old,1k-5k Employees (India)
3063,World Vision,4.3,(173 Reviews),Private,"Monrovia,California + 55 more",73 years old,1k-5k Employees (India)
3064,TCI Supply Chain...,4.3,(173 Reviews),Private,"Gurgaon/Gurugram,Haryana + 30 more",65 years old,5k-10k Employees (India)
3065,Caresoft Global,3.6,(173 Reviews),Private,"Detroit,Michigan + 5 more",19 years old,1k-5k Employees (India)
3066,Shalimar Paints,3.6,(173 Reviews),Public,"Gurgaon/Gurugram,Haryana + 37 more",121 years old,1k-5k Employees (India)
3067,Dorf Ketal Chemi...,3.8,(173 Reviews),LLC,Houston + 20 more,31 years old,1k-5k Employees (India)
3068,Emirates Airline...,4.0,(173 Reviews),Private,"Dubai,Dubai + 14 more",38 years old,1k-5k Employees (India)
3069,Wood Group,4.2,(173 Reviews),Private,"Aberdeen City,Aberdeen + 17 more",111 years old,51-200 Employees (India)
3070,HDFC Mutual Fund,3.9,(173 Reviews),"Mumbai,Maharashtra + 60 more",24 years old,1k-5k Employees (India),
3071,VGN Projects Est...,4.1,(173 Reviews),Private,"Chennai,Tamil Nadu + 3 more",81 years old,1k-5k Employees (India)
3072,Cargo Motors,3.9,(173 Reviews),Private,"Ahmedabad,Gujrat + 19 more",64 years old,1k-5k Employees (India)
3073,Weddingz.in,3.1,(173 Reviews),Private,"Mumbai,Maharashtra + 26 more",8 years old,501-1k Employees (India)
3074,SVC Co-Operative...,4.0,(173 Reviews),Private,"Mumbai,Maharashtra + 30 more",117 years old,1k-5k Employees (India)
3075,RV Solutions,3.8,(173 Reviews),Private,"Noida,Uttar Pradesh + 26 more",15 years old,201-500 Employees (India)
3076,DSV - Global Tra...,4.2,(173 Reviews),Hedehusene + 20 more,47 years old,501-1k Employees (India),
3077,Spm Autocomp,3.6,(173 Reviews),Private,"Gurgaon/Gurugram,Haryana + 9 more",28 years old,51-200 Employees (India)
3078,NetAmbit Infosou...,3.5,(173 Reviews),Private,Noida + 23 more,23 years old,1k-5k Employees (India)
3079,Sagility,4.0,(173 Reviews),Bengaluru/Bangalore + 7 more,1k-5k Employees (India),,
3080,Pole To Win,3.7,(172 Reviews),Private,Los Angeles + 2 more,29 years old,501-1k Employees (India)
3081,Prione Business ...,4.3,(172 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 22 more",9 years old,501-1k Employees (India)
3082,Smollan Group,4.3,(172 Reviews),Private,Johannesburg + 39 more,92 years old,201-500 Employees (India)
3083,Tega Industries,3.8,(172 Reviews),Public,"Kolkata,West Bengal + 14 more",47 years old,1k-5k Employees (India)
3084,Saama Technologi...,4.0,(172 Reviews),Private,"Campbell,California + 2 more",26 years old,201-500 Employees (India)
