,name,rating,reviews,type,hq,old,employees
4088,Bhadra Internati...,3.4,(131 Reviews),Private,"New Delhi,Delhi + 6 more",23 years old,51-200 Employees (India)
4089,BMA Wealth Creat...,3.6,(131 Reviews),Private,"Kolkata,West Bengal + 29 more",18 years old,5k-10k Employees (Global)
4090,Borosil Glass Wo...,3.7,(131 Reviews),Public,"Mumbai,Maharashtra + 20 more",61 years old,501-1k Employees (India)
4091,Swiss Re,3.9,(131 Reviews),Public,Zurich + 2 more,160 years old,1k-5k Employees (India)
4092,Can Fin Homes,4.0,(131 Reviews),Public,Bangalore + 46 more,36 years old,1k-5k Employees (India)
4093,Milk Mantra Dair...,3.7,(131 Reviews),Private,"Bhubaneswar,Odisha + 11 more",14 years old,201-500 Employees (India)
4094,Childline India ...,4.5,(131 Reviews),Private,New Delhi + 49 more,27 years old,51-200 Employees (India)
4095,Shivani Locks,3.6,(131 Reviews),Private,"Faridabad,Haryana + 5 more",35 years old,1k-5k Employees (India)
4096,RAKS Pharma,3.9,(131 Reviews),Private,"Visakhapatnam/Vizag,Andhra Pradesh + 5 more",15 years old,201-500 Employees (India)
4097,Kyndal India,3.9,(131 Reviews),Private,Gurgaon + 9 more,21 years old,51-200 Employees (India)
4098,Sir Hn Reliance ...,4.4,(131 Reviews),Private,"Mumbai,Maharashtra + 3 more",98 years old,501-1k Employees (India)
4099,Towell Engineeri...,3.7,(131 Reviews),Muscat + 8 more,22 years old,51-200 Employees (India),
4100,Vini Cosmetics,4.2,(131 Reviews),Private,"Ahmedabad,Gujarat + 37 more",14 years old,201-500 Employees (India)
4101,Universal Corpor...,3.8,(131 Reviews),Private,"Kikuyu,Nairobi + 28 more",24 years old,1k-5k Employees (India)
4102,Zscaler Softech,4.2,(131 Reviews),Private,"San Jose,California + 9 more",15 years old,1k-5k Employees (India)
4103,R.K.M Powergen,4.2,(131 Reviews),Private,"Chennai,Tamil Nadu + 5 more",19 years old,201-500 Employees (India)
4104,Lamprell,4.2,(131 Reviews),Dubai + 5 more,47 years old,5k-10k Employees (Global),
4105,Rainbow Hospital,3.7,(131 Reviews),Private,Hyderabad + 9 more,24 years old,1k-5k Employees (India)
4106,MAN Energy Solut...,3.9,(131 Reviews),Augsburg + 6 more,13 years old,201-500 Employees (India),
4107,Ipsos,3.5,(142 Reviews),Private,"Paris,Île-de-France + 17 more",48 years old,501-1k Employees (India)
4108,Snowman Logistic...,4.2,(130 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 20 more",27 years old,201-500 Employees (India)
4109,inTarvo Technolo...,3.9,(130 Reviews),Private,Noida + 16 more,28 years old,1k-5k Employees (India)
4110,Wrigley,3.9,(130 Reviews),Private,McLean + 33 more,132 years old,1k-5k Employees (India)
4111,Rasna,3.8,(130 Reviews),Private,"Ahmedabad,Gujarat + 27 more",47 years old,201-500 Employees (India)
4112,Equinox Labs,4.1,(130 Reviews),Private,"Mumbai,Maharashtra + 7 more",18 years old,51-200 Employees (India)
4113,Monster Com Indi...,3.7,(130 Reviews),Private,New York + 10 more,24 years old,501-1k Employees (India)
4114,Trivitron Health...,3.9,(130 Reviews),Private,Chennai + 15 more,26 years old,501-1k Employees (India)
4115,ADARSH DEVELOPER...,4.5,(130 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",35 years old,501-1k Employees (India)
4116,Unilog Content S...,3.5,(130 Reviews),Private,"Wayne,Pennsylvania + 3 more",25 years old,201-500 Employees (India)
4117,Writer Business ...,3.9,(130 Reviews),Private,Mumbai + 38 more,70 years old,10k-50k Employees (India)
4118,Al Hassan Engine...,4.2,(130 Reviews),Private,Ruwi + 13 more,23 years old,1k-5k Employees (Global)
4119,Oriental Carbon ...,4.0,(130 Reviews),Public,Noida + 10 more,45 years old,201-500 Employees (India)
4120,Koye Pharmaceuti...,3.4,(130 Reviews),Private,"Mumbai,Maharashtra + 22 more",10 years old,1k-5k Employees (India)
4121,Som Autotech,3.6,(130 Reviews),Private,Aurangabad + 4 more,12 years old,201-500 Employees (India)
4122,CRPF,4.6,(130 Reviews),New Delhi + 38 more,84 years old,1 Lakh+ Employees (India),
4123,75way Technologi...,4.8,(130 Reviews),Private,"Panchkula,Haryana + 1 more",8 years old,51-200 Employees (India)
4124,M & M Financial ...,4.0,(130 Reviews),Public,Mumbai + 45 more,32 years old,10k-50k Employees (India)
4125,The Sparks Found...,4.3,(130 Reviews),Singapore + 12 more,7 years old,5k-10k Employees (India),
4126,Propertypistol R...,3.1,(130 Reviews),Private,"Mumbai,Maharashtra + 12 more",11 years old,501-1k Employees (India)
4127,Innoval Digital ...,4.6,(130 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 2 more",26 years old,201-500 Employees (India)
4128,Arun Excello,3.7,(130 Reviews),Private,"Chennai,Tamil Nadu + 8 more",36 years old,501-1k Employees (India)
4129,Livguard Energy ...,4.2,(130 Reviews),Private,"Gurgaon/Gurugram,Haryana + 30 more",9 years old,501-1k Employees (India)
4130,Techavera Soluti...,4.5,(130 Reviews),Noida + 2 more,13 years old,51-200 Employees (India),
4131,Franchise India ...,2.3,(130 Reviews),Public,"Faridabad,Haryana + 11 more",24 years old,501-1k Employees (India)
4132,Indus Motors,4.2,(129 Reviews),Private,"Kochi/Cochin,Kerala + 20 more",33 years old,5k-10k Employees (Global)
4133,Mediamint,3.9,(129 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",13 years old,1k-5k Employees (India)
4134,COWI,4.1,(129 Reviews),Private,Lyngby + 3 more,93 years old,501-1k Employees (India)
4135,Unique Engineers,3.7,(129 Reviews),Private,Gurgaon + 24 more,33 years old,201-500 Employees (India)
4136,Harley-Davidson,4.3,(129 Reviews),Private,"Milwaukee,Wisconsin + 25 more",120 years old,201-500 Employees (India)
4137,South Eastern Co...,4.4,(129 Reviews),Government,Bilaspur + 16 more,38 years old,5k-10k Employees (Global)
4138,Govt. Medical Co...,4.2,(129 Reviews),Private,Patiala + 36 more,1k-5k Employees (India),
4139,Compuage Infocom,3.9,(129 Reviews),Public,"Mumbai,Maharashtra + 30 more",36 years old,501-1k Employees (India)
4140,Smart Chip,3.8,(129 Reviews),Private,Noida + 35 more,27 years old,501-1k Employees (India)
4141,Red Bull,4.4,(129 Reviews),Private,Fuschl + 30 more,36 years old,501-1k Employees (India)
4142,Biostadt,4.6,(129 Reviews),Private,"Mumbai,Maharashtra + 36 more",20 years old,501-1k Employees (India)
4143,Balasore Alloys,3.6,(129 Reviews),Public,"Balasore,Odisha + 9 more",39 years old,501-1k Employees (India)
4144,SBI Capital Mark...,3.2,(129 Reviews),Public,"Mumbai,Maharashtra + 41 more",37 years old,201-500 Employees (India)
4145,NOVO Mediscience...,3.0,(129 Reviews),Mumbai + 16 more,77 years old,201-500 Employees (India),
4146,Balaji Action Bu...,4.1,(129 Reviews),Private,"Delhi/NCR,New Delhi + 12 more",33 years old,1k-5k Employees (India)
